,Comptage,annee,mois,joursem,weekend,vacances,feries,Pluie,Vent,Temperature,Neige
2021-01-01,32924.0,2021,1,4,0,1,1,0.0,2.143478260869565,2.273913043478261,0.0
2021-01-02,55207.0,2021,1,5,1,1,0,0.0,1.5166666666666666,2.2083333333333335,0.0
2021-01-03,46799.0,2021,1,6,1,1,0,0.0,2.4833333333333334,3.408333333333333,0.0
2021-01-04,89491.0,2021,1,0,0,0,0,0.2,3.545833333333333,3.0875,0.0
2021-01-05,101072.0,2021,1,1,0,0,0,0.0,3.545833333333333,3.0583333333333336,0.0
2021-01-06,102484.0,2021,1,2,0,0,0,0.0,2.9125,3.5708333333333333,0.0
2021-01-07,107335.0,2021,1,3,0,0,0,0.2,2.375,3.2916666666666665,0.0
2021-01-08,108664.0,2021,1,4,0,0,0,0.0,1.6791666666666665,2.8874999999999997,0.0
2021-01-09,97372.0,2021,1,5,1,0,0,0.0,3.4125,1.4166666666666667,0.0
2021-01-10,79721.0,2021,1,6,1,0,0,0.0,2.6999999999999997,1.4708333333333332,0.0
2021-01-11,109053.0,2021,1,0,0,0,0,0.0,2.670833333333333,3.2375000000000003,0.0
2021-01-12,90240.0,2021,1,1,0,0,0,5.8,3.9125,7.170833333333333,0.0
2021-01-13,97997.0,2021,1,2,0,0,0,2.1999999999999997,3.1333333333333333,8.229166666666666,0.0
2021-01-14,105280.0,2021,1,3,0,0,0,2.2,4.683333333333334,9.237499999999999,0.0
2021-01-15,110292.0,2021,1,4,0,0,0,0.0,4.920833333333333,2.2041666666666666,0.0
2021-01-16,36292.0,2021,1,5,1,0,0,9.799999999999999,2.6833333333333336,0.8875000000000001,23.0
2021-01-17,62536.0,2021,1,6,1,0,0,2.4,2.8125,5.945833333333333,2.0
2021-01-18,110533.0,2021,1,0,0,0,0,0.0,2.6416666666666666,5.0375000000000005,0.0
2021-01-19,98464.0,2021,1,1,0,0,0,2.8000000000000003,4.1875,5.866666666666667,0.0
2021-01-20,120586.0,2021,1,2,0,0,0,0.0,5.079166666666667,9.658333333333333,0.0
2021-01-21,102031.0,2021,1,3,0,0,0,14.4,6.354166666666667,8.816666666666666,0.0
2021-01-22,106106.0,2021,1,4,0,0,0,6.0,2.5416666666666665,6.05,0.0
2021-01-23,60329.0,2021,1,5,1,0,0,4.6000000000000005,3.7916666666666665,3.8625000000000003,0.0
2021-01-24,49365.0,2021,1,6,1,0,0,2.4000000000000004,2.85,1.5250000000000001,0.0
2021-01-25,108075.0,2021,1,0,0,0,0,0.0,3.983333333333333,3.3083333333333336,0.0
2021-01-26,117628.0,2021,1,1,0,0,0,0.0,3.0083333333333333,2.8708333333333336,0.0
2021-01-27,104249.0,2021,1,2,0,0,0,7.6000000000000005,2.5833333333333335,5.425,0.0
2021-01-28,100939.0,2021,1,3,0,0,0,7.2,4.029166666666667,11.820833333333333,0.0
2021-01-29,100300.0,2021,1,4,0,0,0,1.7999999999999998,5.1625000000000005,10.583333333333334,0.0
2021-01-30,78919.0,2021,1,5,1,0,0,13.1,3.1833333333333336,10.183333333333334,0.0
2021-01-31,60989.0,2021,1,6,1,0,0,7.6000000000000005,2.0541666666666667,8.483333333333333,0.0
2021-02-01,105908.0,2021,2,0,0,0,0,0.6000000000000001,3.2458333333333336,8.983333333333333,0.0
2021-02-02,120404.0,2021,2,1,0,0,0,3.6,4.120833333333334,11.691666666666668,0.0
2021-02-03,99114.0,2021,2,2,0,0,0,8.3,4.758333333333334,10.720833333333333,0.0
2021-02-04,125029.0,2021,2,3,0,0,0,0.0,2.3125,8.470833333333333,0.0
2021-02-05,120112.0,2021,2,4,0,0,0,0.2,2.1416666666666666,9.491666666666667,0.0
2021-02-06,52576.0,2021,2,5,1,0,0,22.2,2.8041666666666667,8.304166666666667,0.0
2021-02-07,40759.0,2021,2,6,1,0,0,2.2,3.3833333333333333,3.1125000000000003,0.0
