Nom du compteur,Coordonnées géographiques
97 avenue Denfert Rochereau SO-NE,"48.83504, 2.33314"
105 rue La Fayette E-O,"48.87773, 2.3506"
106 avenue Denfert Rochereau NE-SO,"48.83507, 2.33305"
100 rue La Fayette O-E,"48.87813, 2.3497"
135 avenue Daumesnil SE-NO,"48.843435, 2.383378"
28 boulevard Diderot O-E,"48.84613, 2.37559"
28 boulevard Diderot E-O,"48.84613, 2.37559"
39 quai François Mauriac SE-NO,"48.83436, 2.377"
39 quai François Mauriac NO-SE,"48.83436, 2.377"
18 quai de l'Hôtel de Ville SE-NO,"48.85372, 2.35702"
18 quai de l'Hôtel de Ville NO-SE,"48.85372, 2.35702"
27 boulevard Diderot E-O,"48.846099, 2.375456"
Voie Georges Pompidou SO-NE,"48.84837, 2.27596"
Voie Georges Pompidou NE-SO,"48.84837, 2.27596"
67 boulevard Voltaire SE-NO,"48.86149, 2.37376"
10 avenue de la Grande Armée SE-NO,"48.8748, 2.2924"
7 avenue de la Grande Armée NO-SE,"48.87474, 2.29219"
72 boulevard Voltaire NO-SE,"48.86155, 2.37407"
89 boulevard de Magenta NO-SE,"48.87756, 2.35535"
16 avenue de la Porte des Ternes E-O,"48.88156, 2.28122"
Pont du Garigliano NO-SE,"48.83994, 2.26692"
102 boulevard de Magenta SE-NO,"48.87769, 2.35475"
Face au 16 avenue de la  Porte des Ternes O-E,"48.88168, 2.28113"
21 boulevard Auguste Blanqui SO-NE,"48.83074, 2.35373"
72 boulevard Richard Lenoir S-N,"48.86081, 2.37301"
Pont National SO-NE,"48.82639, 2.38448"
Face au 48 quai de la marne NE-SO,"48.89128, 2.38606"
Face au 48 quai de la marne SO-NE,"48.89128, 2.38606"
77 boulevard Richard Lenoir N-S,"48.86089, 2.37212"
Face 104 rue d'Aubervilliers N-S,"48.890457, 2.368852"
Face 104 rue d'Aubervilliers S-N,"48.890457, 2.368852"
Face au 70 quai de Bercy S-N,"48.829523, 2.38699"
Face au 70 quai de Bercy N-S,"48.829523, 2.38699"
6 rue Julia Bartet SO-NE,"48.82624, 2.30281"
6 rue Julia Bartet NE-SO,"48.82624, 2.30281"
Face au 25 quai de l'Oise NE-SO,"48.89141, 2.38482"
Face au 25 quai de l'Oise SO-NE,"48.89141, 2.38482"
Pont National NE-SO,"48.82682, 2.38491"
Pont du Garigliano SE-NO,"48.83992, 2.26708"
152 boulevard du Montparnasse O-E,"48.84017, 2.33438"
152 boulevard du Montparnasse E-O,"48.84017, 2.33438"
10 boulevard Auguste Blanqui NE-SO,"48.83082, 2.35317"
243 boulevard Saint Germain NO-SE,"48.86179, 2.32014"
Totem 64 Rue de Rivoli Totem 64 Rue de Rivoli Vélos E-O,"48.85735, 2.35211"
Totem 64 Rue de Rivoli Totem 64 Rue de Rivoli Vélos O-E,"48.85735, 2.35211"
87 avenue de Flandre NE-SO,"48.88926, 2.37472"
72 avenue de Flandre SO-NE,"48.889046, 2.374872"
Quai des Tuileries SE-NO,"48.8635, 2.32239"
Quai des Tuileries NO-SE,"48.8635, 2.32239"
44 avenue des Champs Elysées SE-NO,"48.86999, 2.30743"
180 avenue d'Italie N-S,"48.82048, 2.35873"
129 rue Lecourbe SO-NE,"48.84222, 2.30102"
147 avenue d'Italie S-N,"48.82009, 2.3588"
